x-axis,1,2,3
second,Volt,Volt,Volt
+238.40000E-06,-109.10557956E-03,+3.13286429644E+00,-98.69332239E-03
+238.41000E-06,-109.10557956E-03,+3.13286429644E+00,-98.69332239E-03
+238.42000E-06,-109.10557956E-03,+3.20824118008E+00,-96.18075962E-03
+238.43000E-06,-154.33170970E-03,+3.17809042658E+00,-98.69332239E-03
+238.44000E-06,-189.50758874E-03,+3.13286429644E+00,-61.00488057E-03
+238.45000E-06,-189.50758874E-03,+3.17809042658E+00,-58.49231780E-03
+238.46000E-06,-189.50758874E-03,+3.13788942198E+00,-58.49231780E-03
+238.47000E-06,-154.33170970E-03,+3.21326630563E+00,-98.69332239E-03
+238.48000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
+238.49000E-06,-109.10557956E-03,+3.13286429644E+00,-98.69332239E-03
+238.50000E-06,-189.50758874E-03,+3.05748741279E+00,-58.49231780E-03
+238.51000E-06,-144.28145860E-03,+3.13286429644E+00,-58.49231780E-03
+238.52000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
+238.53000E-06,-109.10557956E-03,+3.17809042658E+00,-81.10538287E-03
+238.54000E-06,-109.10557956E-03,+3.05246228725E+00,-98.69332239E-03
+238.55000E-06,-109.10557956E-03,+3.17809042657E+00,-81.10538286E-03
+238.56000E-06,-189.50758874E-03,+3.13286429644E+00,-61.00488057E-03
+238.57000E-06,-154.33170969E-03,+3.21326630563E+00,-76.08025732E-03
+238.58000E-06,-189.50758874E-03,+3.13286429644E+00,-96.18075962E-03
+238.59000E-06,-109.10557956E-03,+3.16804017549E+00,-98.69332239E-03
+238.60000E-06,-109.10557956E-03,+3.13286429644E+00,-98.69332239E-03
+238.61000E-06,-144.28145861E-03,+3.14291454752E+00,-98.69332239E-03
+238.62000E-06,-184.48246320E-03,+3.13286429644E+00,-61.00488057E-03
+238.63000E-06,-189.50758874E-03,+3.08763816630E+00,-81.10538286E-03
+238.64000E-06,-109.10557956E-03,+3.20824118009E+00,-96.18075962E-03
+238.65000E-06,-109.10557956E-03,+3.08763816630E+00,-98.69332239E-03
+238.66000E-06,-189.50758874E-03,+3.13788942197E+00,-58.49231780E-03
+238.67000E-06,-144.28145861E-03,+3.13286429644E+00,-58.49231780E-03
+238.68000E-06,-109.10557956E-03,+3.13286429644E+00,-58.49231780E-03
+238.69000E-06,-109.10557956E-03,+3.13286429644E+00,-98.69332239E-03
+238.70000E-06,-189.50758874E-03,+3.13286429644E+00,-58.49231780E-03
+238.71000E-06,-109.10557956E-03,+3.21326630563E+00,-81.10538286E-03
+238.72000E-06,-114.13070509E-03,+3.13788942197E+00,-58.49231780E-03
+238.73000E-06,-154.33170968E-03,+3.13286429644E+00,-58.49231780E-03
+238.74000E-06,-109.10557956E-03,+3.13286429644E+00,-96.18075962E-03
+238.75000E-06,-189.50758874E-03,+3.17809042656E+00,-98.69332239E-03
