x-axis,1,2,3
second,Volt,Volt,Volt
-2.387500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.293467629701E+00
-2.385000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373026E+00
-2.382500E-06,+3.394872158766E+00,+3.119542708621E+00,+3.343718886375E+00
-2.380000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.377500E-06,+3.193867132068E+00,+3.039140699431E+00,+3.142713859677E+00
-2.375000E-06,+3.193867132068E+00,+3.019040197134E+00,+3.243216373026E+00
-2.372500E-06,+3.043113362045E+00,+3.079341704026E+00,+3.142713859677E+00
-2.370000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.367500E-06,+3.193867132068E+00,+3.039140699431E+00,+3.142713859677E+00
-2.365000E-06,+3.193867132068E+00,+3.179844215512E+00,+3.142713859677E+00
-2.362500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.360000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859678E+00
-2.357500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.355000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.352500E-06,+2.992862105370E+00,+3.099442206323E+00,+3.192965116353E+00
-2.350000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.347500E-06,+3.193867132068E+00,+3.039140699431E+00,+3.142713859677E+00
-2.345000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.342500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.192965116353E+00
-2.340000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.337500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.335000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373027E+00
-2.332500E-06,+3.193867132068E+00,+3.159743713215E+00,+3.343718886375E+00
-2.330000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.327500E-06,+3.043113362043E+00,+3.119542708620E+00,+3.142713859677E+00
-2.325000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.322500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.320000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.317500E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859677E+00
-2.315000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.312500E-06,+3.193867132068E+00,+3.019040197134E+00,+3.192965116353E+00
-2.310000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859677E+00
-2.307500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.192965116351E+00
-2.305000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.243216373025E+00
-2.302500E-06,+2.992862105370E+00,+3.099442206323E+00,+3.142713859677E+00
-2.300000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.297500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.295000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.292500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.142713859677E+00
-2.290000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.287500E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.285000E-06,+3.193867132068E+00,+3.099442206323E+00,+3.343718886375E+00
-2.282500E-06,+3.143615875392E+00,+3.099442206323E+00,+3.343718886375E+00
-2.280000E-06,+2.992862105370E+00,+3.099442206323E+00,+3.343718886375E+00
-2.277500E-06,+3.043113362043E+00,+3.099442206323E+00,+3.343718886375E+00
