x-axis,1,2,3
second,Volt,Volt,Volt
-7.95000E-06,+3.01507540047E+00,+3.21608042716E+00,+2.09045223892E+00
-7.90000E-06,+3.21608042717E+00,+3.16582917050E+00,+2.09045223892E+00
-7.85000E-06,+3.11557791383E+00,+3.11557791383E+00,+2.09045223892E+00
-7.80000E-06,+3.01507540047E+00,+3.16582917049E+00,+2.08040198777E+00
-7.75000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.70000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-7.65000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.60000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-7.55000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.50000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-7.45000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.09045223892E+00
-7.40000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.35000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.05025123432E+00
-7.30000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.25000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.11055274121E+00
-7.20000E-06,+3.06532665715E+00,+3.01507540047E+00,+2.09045223892E+00
-7.15000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-7.10000E-06,+3.01507540047E+00,+3.16582917050E+00,+2.09045223892E+00
-7.05000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-7.00000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.08040198777E+00
-6.95000E-06,+3.21608042717E+00,+3.01507540048E+00,+2.09045223892E+00
-6.90000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-6.85000E-06,+3.11557791383E+00,+3.01507540047E+00,+2.09045223892E+00
-6.80000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.08040198777E+00
-6.75000E-06,+3.21608042716E+00,+3.01507540047E+00,+2.09045223892E+00
-6.70000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-6.65000E-06,+3.11557791381E+00,+3.01507540047E+00,+2.09045223892E+00
-6.60000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.09045223892E+00
-6.55000E-06,+3.21608042717E+00,+2.81407037378E+00,+2.05025123432E+00
-6.50000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.09045223892E+00
-6.45000E-06,+3.21608042717E+00,+2.91457288713E+00,+2.09045223892E+00
-6.40000E-06,+3.16582917049E+00,+3.01507540047E+00,+2.09045223892E+00
-6.35000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.09045223892E+00
-6.30000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-6.25000E-06,+3.11557791383E+00,+3.21608042717E+00,+2.09045223892E+00
-6.20000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-6.15000E-06,+3.21608042716E+00,+3.01507540047E+00,+2.09045223892E+00
-6.10000E-06,+3.01507540047E+00,+3.21608042717E+00,+2.09045223892E+00
-6.05000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.07035173662E+00
-6.00000E-06,+3.06532665715E+00,+2.96482414379E+00,+2.06030148547E+00
-5.95000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-5.90000E-06,+3.06532665714E+00,+3.01507540047E+00,+2.08040198777E+00
-5.85000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.07035173662E+00
-5.80000E-06,+3.01507540047E+00,+3.01507540047E+00,+2.09045223892E+00
-5.75000E-06,+3.01507540048E+00,+3.01507540047E+00,+2.05025123432E+00
-5.70000E-06,+3.21608042717E+00,+3.06532665714E+00,+2.08040198777E+00
-5.65000E-06,+3.21608042717E+00,+3.01507540047E+00,+2.09045223892E+00
-5.60000E-06,+3.21608042717E+00,+2.96482414379E+00,+2.09045223892E+00
